        Sun     Coll  Wins  CES         , DNR         , DF          , DISC        , FES         , NoC         , OMSD        , SF          , TM          , 
    0 :  102.59 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    1 :  111.30 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    2 :   99.10 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    3 :  112.09 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    4 :  114.26 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    5 :  113.60 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    6 :  103.35 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    7 :  103.50 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    8 :  100.21 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
    9 :  107.23 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
   10 :  111.53 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
   11 :  118.30 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
   12 :  107.06 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
   13 :  111.86 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
   14 :  100.73 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
   15 :  112.80 0.000 0.000  0.37328022 ,  0.10359769 ,  0.52536934 ,  0.97084093 ,  0.83212686 ,  0.92551384 ,  0.30782564 ,  0.18901969 ,  0.11981026 , 
